,Title,Label,Type,Price,Location,Baths,Area,Purpose,Bedroom(s),Added,Description,Main Features,Rooms,Business and Communication,Healthcare Recreational,Nearby Locations and Other Facilities,Other Facilities,Popular,Source,Time Stamp
1115,House Is Available For Sale,"Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",House,PKR   1.4 Crore,"Bahria Town, Islamabad, Islamabad Capital",4,5 Marla,For Sale,3,9 hours ago,"Looking for a beautifully built House for sale. We got just that in store for you! The House, spread over 5 Marla Square Feet, is located in  Bahria Town, Islamabad. Down payment 30%, Reaming amount will be paid in 12 to 18 Months,S/Q, Car porch, Covered area 2100 Sq. ft approx,The House is available at an attractive price of Rs Rs 14,000,000. Feel free to call us for further details and do not forget to mention Zameen. com while calling.", ," Bedrooms: 3 , Bathrooms: 4", , , , ,hot,Islamabad-3-45,3/31/2019 23:58
1116,8 BED ROOM WITH BASEMENT HOUSE FOR SALE,"DHA Phase 2 - Sector G, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",House,PKR   4.75 Crore,"DHA Defence, Islamabad, Islamabad Capital",9,1 Kanal,For Sale,8,10 hours ago,"DHA PHASE II SECTOR G Built in 2018-2019brand new solid structureExcellent interior and exterior. Nicely build 1 kanal, House For Sale. 8-Luxury bedrooms, 9-Washroom,Drawing and dining room, T. v lounge, powder room and 3 kitchens with dirty kitchens also. Huge Car porch. Most beautiful entrance. Imported fittings and fixtures in all washroomsIt is the only housing scheme, in which you can enjoy Luxuries of life Very economically. Near Shopping Mall, Parks, Hospital and SchoolContact Us For More Details"," Built in year , Parking Spaces: 4 , Double Glazed Windows , Flooring , Electricity Backup , Waste Disposal , Floors: 3"," Bedrooms: 8 , Bathrooms: 9 , Servant Quarters: 3 , Drawing Room , Dining Room , Kitchens: 3 , Powder Room  , Store Rooms: 3 , Lounge or Sitting Room"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom", ," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled",hot,Islamabad-3-45,3/31/2019 23:58
1117,RESIDENTIAL BEAUTIFUL HOUSE FOR SALE SECTOR C,"DHA Phase 2 - Sector C, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",House,PKR   5 Crore,"DHA Defence, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,5,11 hours ago,"DHA PHSE II SECTOR C NEAR SECTOR ROAD BEAUTIFUL HOUSE EXCELLENT ELEVATION SOLID HOUSE TILES INSTALLED SINGLE UNIT BUT CAN BE DIVIDED INTO TWO UNITS PROPER 5 BED HOUSE LARGE PARKING SPACE Excellent interior and exterior. Nicely build 1 kanal, House For Sale. 6-Luxury bedrooms, 7-Washroom,Drawing and dining room, T. v lounge, powder room and American kitchen. Huge Car porch. Most beautiful entrance. Imported fittings and fixtures in all washroomsIt is the only housing scheme, in which you can enjoy Luxuries of life Very economically. Near Shopping Mall, Parks, Hospital and SchoolContact Us For More Details"," Built in year: 2019 , Parking Spaces: 4 , Double Glazed Windows , Flooring , Electricity Backup , Waste Disposal , Floors: 2"," Bedrooms: 5 , Bathrooms: 6 , Servant Quarters: 2 , Drawing Room , Dining Room , Kitchens: 2 , Store Rooms: 2 , Lounge or Sitting Room , Laundry Room"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom", Lawn or Garden, ," Maintenance Staff , Security Staff",hot,Islamabad-3-45,3/31/2019 23:58
1118,Brand New Designer 1 Kanal House At Prime Location Of  Dha  Phase 2,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",House,PKR   4.1 Crore,"DHA Defence, Islamabad, Islamabad Capital",-,1 Kanal,For Sale,-,1 week ago,"High Quality 1 Kanal House for Sale in DHA Phase 2House at very peaceful location Solid construction and Beautiful Finishing Excellent Woodwork, Quality Fittings And Stylish kitchens Near to Park and Commercial This house features:5 Living rooms Stylish kitchens Spacious bedrooms Luxury bathrooms  Drawing room Dining room Store room Servant room with attached bath Entrance lobby with stairs Indoor Green Terrace Parking space for 4 cars For more options and visit please contact us."," Built in year: 2018 , Parking Spaces: 2 , Flooring , Electricity Backup , Floors: 2"," Drawing Room , Dining Room , Kitchens: 2 , Powder Room  , Lounge or Sitting Room , Laundry Room"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom", Lawn or Garden," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff",,Islamabad-3-45,3/31/2019 23:58
1119,1 Kanal Amazing House For Sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",House,PKR   4.5 Crore,"DHA Defence, Islamabad, Islamabad Capital",7,1 Kanal,For Sale,6,1 week ago,"Excellent interior and exterior. Nicely build 1 kanal, House For Sale. 6-Luxury bedrooms, 7-Washroom,Drawing and dining room, T. v lounge, powder room and American kitchen. Huge Car porch. Most beautiful entrance. Imported fittings and fixtures in all washroomsIt is the only housing scheme, in which you can enjoy Luxuries of life Very economically. Near Shopping Mall, Parks, Hospital and SchoolContact Us For More Details"," Built in year: 2018 , Parking Spaces: 3 , Double Glazed Windows , Central Air Conditioning , Flooring , Electricity Backup , Waste Disposal , Floors: 2"," Bedrooms: 6 , Bathrooms: 7 , Servant Quarters: 2 , Drawing Room , Dining Room , Kitchens: 2 , Study Room , Prayer Room , Powder Room  , Store Rooms: 2 , Steam Room , Lounge or Sitting Room , Laundry Room , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom , Other Business and Communication Facilities"," Lawn or Garden , Other Healthcare and Recreation Facilities"," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled , Other Facilities",,Islamabad-3-45,3/31/2019 23:58
1120,E-11/4 NPF Designer Quality  House For Sale,"E-11/4, E-11, Islamabad, Islamabad Capital",House,PKR   6.5 Crore,"E-11, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,6,1 week ago,"E-11/4 NPF Designer Quality  House For Sale. Having 6 Bed Of Size 500 Sq. yd . Easily One Of The Best Houses In The Sector For High Profile Families With Taste. Excellent Solid Wood Work, Porta And Grohe Fittings And Fixtures, Designer Quality Kitchen, Imported Tiles, Extra Land  Etc. Reasonable Demand Of Just 6. 5 Crore. Prime Location. For More Details And Option Please Contact Us.", Parking Spaces: 3," Bedrooms: 6 , Bathrooms: 6 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 2 , Store Rooms: 1 , Lounge or Sitting Room"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom", Lawn or Garden, , ,,Islamabad-3-45,3/31/2019 23:58
1121,Ideal location ten marla 7bedroom with besement house available for sale in bahria enclave islamabad sector A,"Bahria Enclave - Sector A, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",House,PKR   2.5 Crore,"Bahria Town, Islamabad, Islamabad Capital",6,10 Marla,For Sale,7,1 week ago,10 marla 7bedroom Amazing house  with besement for sale in bahria enclave islamabad sector A7bedroom with attached bathrooms tv loungescar parking1 servant room with attached bathroomreasonable priceBest area for livingbeautiful terrace viewnear masjid parks school commercial marketfor more options and visit plz contact usMuhammad sohail(we have houses and plots of all sizes), , , , , ," Maintenance Staff , Security Staff , Facilities for Disabled , Other Facilities",,Islamabad-3-45,3/31/2019 23:58
1122,1 Kanal Design New Gorgeous Bungalow For Sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",House,PKR   4.9 Crore,"DHA Defence, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,6,1 week ago,"Eager To Move To A Vibrant Neighborhood? This Modern Newly Built 1 Kanal Bungalow Is Available In One Of The MostSought-after Locations In Islamabad Dha Phase-2. It Features State Of The Art Construction Comprising OfLuxury Bedrooms, Fine Bathrooms Along With A Spacious Lounge Area. Additional Features Include A Garage AndTerrace Adding To The Quality Of The House. The Site Is Situated At A Short Distance From Educational Institutes AndMedical Center, Commercial Markets And Major Road Networks. We Encourage Buyers To Arrange An Early.  More options avaibal according to your demand & budget feel free to contact us"," Built in year: 2018 , Parking Spaces , Double Glazed Windows , Flooring , Electricity Backup , Waste Disposal , Floors: 2 , Other Main Features"," Bedrooms: 6 , Bathrooms: 6 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 2 , Study Room , Powder Room  , Store Rooms: 2 , Lounge or Sitting Room , Laundry Room"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom"," Lawn or Garden , Jacuzzi"," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled",,Islamabad-3-45,3/31/2019 23:58
1123,1 Kanal Brand New Beautiful Bungalow For Sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",House,PKR   4.5 Crore,"DHA Defence, Islamabad, Islamabad Capital",8,1 Kanal,For Sale,6,1 week ago,"Eager to move to a vibrant neighborhood? This modern newly built 1 kanal bungalow is available in one of the mostsought-after locations in DHA  Phase-2. It features state of the art construction comprising ofluxury bedrooms, fine bathrooms along with a spacious lounge area. Additional features include a garage andterrace adding to the quality of the house. The site is situated at a short distance from educational institutes andmedical center, commercial markets and major road networks. We encourage buyers to arrange an early"," Built in year: 2018 , Parking Spaces: 4 , Double Glazed Windows , Flooring , Electricity Backup , Waste Disposal , Floors: 2 , Other Main Features"," Bedrooms: 6 , Bathrooms: 8 , Servant Quarters: 2 , Drawing Room , Dining Room , Kitchens: 2 , Study Room , Powder Room  , Store Rooms: 2 , Lounge or Sitting Room , Laundry Room"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom", Lawn or Garden," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled",,Islamabad-3-45,3/31/2019 23:58
1124,Defence Villa Just Like Brand New House For Sale,"DHA Phase 1 - Defence Villas, DHA Phase 1 - Sector F, DHA Defence Phase 1, DHA Defence, Islamabad, Islamabad Capital",House,PKR   1.9 Crore,"DHA Defence, Islamabad, Islamabad Capital",3,11 Marla,For Sale,3,1 week ago,"Defence Villa Just Like Brand New House For Sale Size 11Marla House 3 Bedrooms With Attached Bathrooms Best  Accommodation With Reasonable Demand Rental value 65k  D/d,tv L,terrace  Parking Space 1full developed Sector For More Detail Contact Please"," Parking Spaces: 1 , Flooring , Electricity Backup , Waste Disposal , Floors: 2"," Bedrooms: 3 , Bathrooms: 3 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 2 , Study Room , Prayer Room , Powder Room  , Store Rooms: 1 , Steam Room , Lounge or Sitting Room , Laundry Room , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom"," Lawn or Garden , Swimming Pool , Sauna , Jacuzzi"," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled",,Islamabad-3-45,3/31/2019 23:58
1125,Prime Location 10 marla 5bedroom Double unit brand new house available for sale in bahria enclave islamabad sector A,"Bahria Enclave - Sector A, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",House,PKR   2.65 Crore,"Bahria Town, Islamabad, Islamabad Capital",6,10 Marla,For Sale,5,1 week ago,luxury interior @Excellent Elevation Bahria Enclave Islamabad 10 Marla Amazing House For (sale)Newly constructed at a very peaceful location . solid constructed and beautiful finishing excellent woodworksquality fitting and stylish two kitchenNear masjid parks school hospital commercial market. This house features . 5 spacious bedroom 6 luxury bathrooms 2 drawing room1 servants room with attacked bathroomEntrance lobby with stairs parking space for 3 cars we are also providing construction servicesfor more options and visit plz contact usMuhammad sohail(we build you're dreams )bahria enclave Islamabad property sale purchase investment," Built in year: 2018 , Parking Spaces: 3 , Double Glazed Windows , Central Air Conditioning , Flooring , Electricity Backup , Waste Disposal , Floors: 2"," Bedrooms: 5 , Bathrooms: 6 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 2 , Study Room , Prayer Room , Powder Room  , Gym , Store Rooms: 1 , Steam Room , Lounge or Sitting Room , Laundry Room", , ," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled , Other Facilities",,Islamabad-3-45,3/31/2019 23:58
1126,House For Sale On Instalments,"Mumtaz City, Islamabad, Islamabad Capital",House,PKR   1.75 Crore,"Mumtaz City, Islamabad, Islamabad Capital",4,8 Marla,For Sale,4,17 hours ago,"Savoy EstateNow offers built up houses for its clients on instalment plan. We are offering this service in Mumtaz City Islamabad . We will be offering services in;Property Buying and Selling Property RentingConstruction Services Construction ConsultancyMaterials Procurement A basic floor plan can be seen here, changes as per clients requirements will be done on client to client basses. Our construction team has already delivered multiple projects in Islamabad. We have a dedicated team of architects, desiengineers, engineers, consultants and labour team. Projects our team has already worked in different capacities and delivered:Savoy Residencies Apartments F 11Savoy Arcade F 11Silver Square  F11Silver Oaks F 10Mandeer Square G 8Valley View Resort MureeFarme House in Gulberg Greens Islamabad For more information, feel free to contact us on below given numbers."," Double Glazed Windows , Central Air Conditioning , Central Heating , Flooring , Electricity Backup , Waste Disposal , Floors: 2 , Other Main Features"," Bedrooms: 4 , Bathrooms: 4 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 11 , Powder Room  , Store Rooms: 1"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom", Lawn or Garden," Distance From Airport (kms) , Nearby Public Transport Service"," Maintenance Staff , Security Staff , Facilities for Disabled",hot,Islamabad-3-46,3/31/2019 23:59
1127,Prime Location House Double Story House For Sale,"Soan Garden, Islamabad, Islamabad Capital",House,PKR   1.4 Crore,"Soan Garden, Islamabad, Islamabad Capital",6,7 Marla,For Sale,5,1 day ago,Prime Location House Double Story House For Sale Near To Market Trusted Construction Walking Distance From Islamabad Highway  Having 5 Bed 6 Bath Size 30x602 Kitchen2 Drawing Dining Room 2 T. v Lounge Boring Water  All Facilities Available Separate Stair.  For More Information Please Call Us.," Built in year: 2018 , Parking Spaces: 2 , Double Glazed Windows , Central Air Conditioning , Central Heating , Flooring , Electricity Backup , Waste Disposal , Floors: 2 , Other Main Features"," Bedrooms: 6 , Bathrooms: 8 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 2 , Study Room , Prayer Room"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom", ," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled",hot,Islamabad-3-46,3/31/2019 23:59
1128,D121 25x40 Brand New Single Unit Designer Quality  House For Sale,"D-12/1, D-12, Islamabad, Islamabad Capital",House,PKR   1.9 Crore,"D-12, Islamabad, Islamabad Capital",3,4 Marla,For Sale,3,1 day ago,"D12/1, 25x40 Brand New, Single Unit Designer Quality  House For Sale. Striking Elevation With Expensive Tiles And Glass Façade. Solid Diyar Wood Work, Porta Fixtures,25x25 Ft  Imported Tiles. Easily One Of The Best Houses In D12 In This Size, Price Demand 190 only. Call Now!!! For Site Inspection Before You Decide To Buy Any House. "," Parking Spaces: 1 , Double Glazed Windows , Flooring"," Bedrooms: 3 , Bathrooms: 3 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 1 , Lounge or Sitting Room , Laundry Room", , , , ,hot,Islamabad-3-46,3/31/2019 23:59
